timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1731376587621,3,HTTP Request,201,CREATED,Thread Group 1-1,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,3,0,1
1731376587624,1,HTTP Request,200,OK,Thread Group 1-1,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376587824,2,HTTP Request,201,CREATED,Thread Group 1-2,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,0
1731376587826,1,HTTP Request,200,OK,Thread Group 1-2,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376588022,4,HTTP Request,201,CREATED,Thread Group 1-3,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,4,0,1
1731376588026,2,HTTP Request,200,OK,Thread Group 1-3,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376588224,2,HTTP Request,201,CREATED,Thread Group 1-4,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,1
1731376588226,1,HTTP Request,200,OK,Thread Group 1-4,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376588425,2,HTTP Request,201,CREATED,Thread Group 1-5,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,0
1731376588427,2,HTTP Request,200,OK,Thread Group 1-5,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376588624,4,HTTP Request,201,CREATED,Thread Group 1-6,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,4,0,1
1731376588629,2,HTTP Request,200,OK,Thread Group 1-6,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,0
1731376588826,2,HTTP Request,201,CREATED,Thread Group 1-7,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,1
1731376588828,1,HTTP Request,200,OK,Thread Group 1-7,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,1
1731376589022,4,HTTP Request,201,CREATED,Thread Group 1-8,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,4,0,2
1731376589027,3,HTTP Request,200,OK,Thread Group 1-8,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,1
1731376589220,1,HTTP Request,201,CREATED,Thread Group 1-9,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,1,0,0
1731376589221,1,HTTP Request,200,OK,Thread Group 1-9,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,1
1731376589421,1,HTTP Request,201,CREATED,Thread Group 1-10,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,1,0,1
1731376589423,0,HTTP Request,200,OK,Thread Group 1-10,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,0,0,0
1731376589624,1,HTTP Request,201,CREATED,Thread Group 1-11,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,1,0,0
1731376589625,1,HTTP Request,200,OK,Thread Group 1-11,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,1
1731376589826,5,HTTP Request,201,CREATED,Thread Group 1-12,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,5,0,2
1731376589832,2,HTTP Request,200,OK,Thread Group 1-12,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,2,0,0
1731376590025,3,HTTP Request,201,CREATED,Thread Group 1-13,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,3,0,1
1731376590029,1,HTTP Request,200,OK,Thread Group 1-13,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376590224,2,HTTP Request,201,CREATED,Thread Group 1-14,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,2,0,1
1731376590226,1,HTTP Request,200,OK,Thread Group 1-14,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,0
1731376590425,1,HTTP Request,201,CREATED,Thread Group 1-15,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,1,0,0
1731376590426,1,HTTP Request,200,OK,Thread Group 1-15,text,true,,213,134,1,1,http://127.0.0.1:5000/retrieve_message/1,1,0,1
1731376590625,3,HTTP Request,201,CREATED,Thread Group 1-16,text,true,,236,252,1,1,http://127.0.0.1:5000/send_message,3,0,1
